//========================================================================================
// »» The Fusion Project ««
// Copyright (c) 2004, Cobax Information Systems
// http://cobax.net/
// ---------------------------------------------------------------------------------------
//
// Payon Town Warps - Warp Locations
//
//========================================================================================

// ---------------------------- New entrance/exit warps. ---------------------------------

pay_fild08.gat,17,75,0		warp	payonwarp001	2,4,payon.gat,262,93
payon.gat,268,89,0		warp	payonwarp002	2,4,pay_fild08.gat,20,74
payon.gat,121,27,0      	warp	payonwarp003	5,3,pay_fild01.gat,333,356
pay_fild01.gat,333,361,0	warp	payonwarp004	5,3,payon.gat,121,32
payon.gat,14,142,0		warp	payonwarp005	1,1,pay_gld.gat,370,149
pay_gld.gat,374,149,0		warp	payonwarp006	1,1,payon.gat,19,142
payon.gat,227,330,0	 	warp	payonwarp007	4,2,pay_arche.gat,81,22
pay_arche.gat,81,17,0	 	warp	payonwarp008	5,2,payon.gat,227,326

// ---------------------------- Old working warps. ---------------------------------------

pay_arche.gat,36,131,0		warp	payonwarp009	2,2,pay_dun00.gat,21,183
pay_arche.gat,71,156,0		warp	payonwarp010	2,2,payon_in02.gat,82,41
pay_arche.gat,92,170,0		warp	payonwarp011	2,2,payon_in02.gat,50,7
pay_arche.gat,145,165,0	 	warp	payonwarp012	2,2,payon_in02.gat,64,60
payon_in02.gat,10,25,0	 	warp	payonwarp013	2,2,payon_in02.gat,72,67
payon_in02.gat,35,67,0	 	warp	payonwarp014	2,2,payon_in02.gat,55,67
payon_in02.gat,50,4,0	 	warp	payonwarp015	3,1,pay_arche.gat,92,166
payon_in02.gat,52,67,0	 	warp	payonwarp016	2,2,payon_in02.gat,32,67
payon_in02.gat,61,33,0	 	warp	payonwarp017	2,2,payon_in02.gat,73,33
payon_in02.gat,64,56,0	 	warp	payonwarp018	2,2,pay_arche.gat,141,161
payon_in02.gat,70,33,0	 	warp	payonwarp019	2,2,payon_in02.gat,58,33
payon_in02.gat,75,67,0	 	warp	payonwarp020	2,2,payon_in02.gat,13,25
payon_in02.gat,82,45,0	 	warp	payonwarp021	2,2,pay_arche.gat,74,153

// ------------------------------- Castle -------------------------------------------------

payon_in03.gat,99,148,0	 	warp	payontestwarp000	2,2,payon_in03.gat,99,129
payon_in03.gat,99,133,0	 	warp	payontestwarp000	2,2,payon_in03.gat,99,152
payon_in03.gat,107,124,0	warp	payontestwarp000	2,2,payon_in03.gat,118,124
payon_in03.gat,114,124,0	warp	payontestwarp000	2,2,payon_in03.gat,103,124
payon_in03.gat,90,124,0	 	warp	payontestwarp000	2,2,payon_in03.gat,79,124
